;Schw. (hp);wl_lett;wl_syll;one_syll;more_syll;long_w;lh_ran;lh_freq;lh_infr;lh_inv;lh_100;lhsw_ran;lhsw_freq;lhsw_lnfr;lhsw_inv;lhsw_100;wh_ran;wh_freq;wh_lnfr;wh_100;whsw_ran;whsw_freq;whsw_lnfr;whsw_100;rr_10;rr_25;rr_30;rr_40;rr_50;rr_60;rr_75;rr_80;rr_85;rr_90;ttr;ttr_sq;ttr_hd;ttrsw;ttrsw_sq;ttrsw_hd;i/f;f/i;i/w;f/w;L;R;nr;vr;nstv;fvr;ivr;fir;syn;lnsyn;synsw;lnsynsw;syn500;1sg;2sg;3sg;1pl;2pl;3pl;n3;prs;imperf;perf;pqp;fut1;fut2;nprs;nprprf;ind;sub;imp;nind;act;pass;nom;gen;dat;acc;abl;lem;ana;mult_lem;kon;pr_w;pr_n;pr_s;pr12_w;pr12_n;pr12_s;prpo_w;prpo_n;prpo_s;prps_w;prps_n;prps_s;kr_2;kr_3;kr_all;krn_2;krn_3;krn_all;sim_wn;sim_wup;lsa;lsa_2;sl;cl;v1w;v1s;ovs;ovw;svoc;svow;wvps;wvpw;depl;tu;stw;stt;stn;nsw;nst;nss;fnsw;fnst;fnss;fnsns;haa;hga;haga;haw;hgw;hagw;haha;hghg;haghag;vH_w;vH_H;ch;verschr. RS;R+K;R+I;R. SA;Sup I;Sup II;Ger. ohne esse;Ger. prädik.;Gerundium;ind. Rede;AcI;NcI;hist. Inf.;Inf.-Konstr.;ind. FS;quin-S.;fakt. quod;Komp. S.;Kond. S.;cum + K;cum + I;Konzessiv S.;Konsek. S.;Temp. S.;Final S.;Kausal S.;Konj. HS;Attr. Part.;Abl. Abs.;PC;Prädikativum;Dat. fin.;Abl. comp.;Gen. qual.;Abl. qual.;Dat. auct.;Dat. poss.;Imp.;Passiv;Ellipse;LEF;Anzahl SE;differente SE;Rel.sätze;nd-Formen;Infinitive;NS;Part.;Kasus;SE_optimum;**lex. Variablen ohne Anmerkungen**;wl_lett;wl_syll;one_syll;more_syll;long_w;lh_ran;lh_freq;lh_infr;lh_inv;lh_100;lhsw_ran;lhsw_freq;lhsw_lnfr;lhsw_inv;lhsw_100;wh_ran;wh_freq;wh_lnfr;wh_100;whsw_ran;whsw_freq;whsw_lnfr;whsw_100;rr_10;rr_25;rr_30;rr_40;rr_50;rr_60;rr_75;rr_80;rr_85;rr_90;ttr;ttr_sq;ttr_hd;ttrsw;ttrsw_sq;ttrsw_hd;i/f;f/i;i/w;f/w;L;R;nr;vr;nst;fvr;ivr;fir;syn;lnsyn;synsw;lnsynsw;syn500;**Genre etc.**;Genre_1;Genre_2;Narrativität;Inhalt
Text_23;4,326;6,619;2,804;0,18;0,541;0,619;243,309;9203,577;6,989;0,328;3,015;325,859;2078,556;5,924;0,325;3,746;377,809;3274,598;5,159;4,232;492,972;343,887;3,87;5,289;0,485;0,345;0,314;0,258;0,206;0,170;0,129;0,103;0,077;0,052;0,686;9,549;0,928;0,761;9,063;0,945;2,731;0,366;0,732;0,268;136,233;0,941;0,323;0,185;0,571;0,108;0,139;0,438;13,082;1,427;10,546;1,127;5,273;0;0;0,68;0;0;0,32;0;0,44;0,24;0,2;0,08;0;0,04;0,56;0,36;0,44;0,56;0;0,56;0,72;0,28;0,161;0,226;0,032;0,21;0,371;1,464;4,082;0,330;0,077;0,139;0,422;2,25;0;0;0;0,01;0,031;0,167;0,015;0,047;0,25;0,067;0,113;0,175;0,036;0,057;0,098;0,326;0,421;0,681;0,541;16,667;5,543;0,05;0,083;0,143;0,15;0;0;3,917;0,235;3,154;13,857;15,979;2,214;1,476;10,825;1,500;1,750;7,732;1,071;1,250;0,714;0,000;2,577;2,577;0,000;4,639;4,639;0,000;1,800;1,800;0,000;0,000;4,124;0,000;0,031;0,005;0,005;0,000;0,000;0,000;0,000;0,000;0,021;0,015;0,000;0,000;0,010;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,021;0,000;0,000;0,000;0,000;0,010;0,015;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,026;0,036;0,000;0,139;12;0,105;0,000;0,104;0,057;0,060;0,000;0,097;;6,595;2,789;0,184;0,542;0,621;236,268;9365,126;7,025;0,27;2,942;318,558;2094,457;5,942;0,268;3,667;376,305;3339,474;5,207;4,221;494,239;348,261;3,899;5,304;0,479;0,337;0,305;0,247;0,2;0,163;0,121;0,095;0,068;0,042;0,679;9,359;0,926;0,754;8,853;0,943;2,654;0,377;0,726;0,274;132,233;0,94;0,325;0,178;0,548;0,105;0,142;0,426;13,311;1,444;10,721;1,138;5,268;;Prosa;Geschichtsschreibung;informativ;Rhetorik
Text_24;5,869;5,5;2,295;0,216;0,386;0,477;318,625;9012,068;6,52;0,721;3,705;419,381;1302,714;5,339;0,713;4,635;404,068;4568,648;5,08;4,443;541,302;207,46;3,559;5,714;0,545;0,455;0,409;0,364;0,307;0,261;0,182;0,159;0,114;0,068;0,852;7,995;0,964;0,952;7,559;0,988;2,52;0,397;0,716;0,284;75,243;0,949;0,295;0,182;0,615;0,18;0,034;0,842;12,125;1,226;10,807;1,034;4,625;0,15;0,05;0,75;0;0,05;0;0,25;0,7;0;0,25;0;0;0;0,3;0,05;0,85;0,15;0;0,15;1;0;0,2;0,12;0,04;0,44;0,2;1,295;2,773;0,193;0,034;0,091;0,276;0,889;0,057;0,172;0,556;0,023;0,069;0,222;0,034;0,103;0,333;0;0,011;0,011;0;0;0;0,114;0,137;0;0,458;10,333;4,190;0,538;0,556;0;0;0,059;0,108;1,222;0,118;3;5,500;5,682;0,313;1,000;5,682;0,313;0,556;4,545;0,250;0,444;0,800;4,545;0,000;4,545;12,500;0,000;12,500;2,750;0,000;2,750;0,000;0,000;1,136;0,000;0,000;0,023;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,011;0,011;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,011;0,000;0,000;0,023;0,011;0,011;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,102;7;0,035;0,000;0,020;0,053;0,054;0,000;0,000;;5,317;2,207;0,232;0,354;0,451;317,098;9652,561;6,841;0,579;3,707;427,789;1412,614;5,677;0,570;4,737;406,183;4901,232;5,364;4,488;558,789;226,842;3,807;5,912;0,549;0,463;0,415;0,366;0,305;0,256;0,171;0,146;0,098;0,049;0,841;7,62;0,961;0,947;7,152;0,987;2,28;0,439;0,695;0,305;69,243;0,945;0,268;0,183;0,682;0,181;0,024;0,882;12,805;1,282;11,39;1,076;4,537;;Poesie;Epos;narrativ;Götter
Text_25;3,712;5,688;2,296;0,22;0,409;0,532;346,28;7195,688;6,151;1,369;3,995;437,883;1223,876;5,107;1,366;4,834;453,758;4500,715;4,568;4,957;561,214;172,772;3,328;5,938;0,565;0,484;0,473;0,414;0,371;0,285;0,215;0,167;0,134;0,086;0,833;11,365;0,965;0,931;11,211;0,986;3,537;0,283;0,78;0,22;160,325;0,947;0,369;0,176;0,478;0,161;0,07;0,698;15,328;1,252;13,312;1,028;4,489;0;0;0,7;0,067;0,133;0,1;0,2;0,69;0,034;0,138;0,069;0,069;0;0,31;0,172;0,759;0,138;0,103;0,241;0,897;0,103;0,089;0,036;0;0,571;0,268;1,398;3,204;0,274;0,102;0,081;0,227;1,071;0,011;0,03;0,143;0;0;0;0,011;0,03;0,143;0,022;0,022;0,038;0,011;0,005;0,016;0,34;0,462;0,334;0,521;12,062;5,471;0,259;0,312;0,1;0,155;0,067;0,104;4,312;0,358;2,898;7,440;4,839;0,360;1,000;4,839;0,360;0,563;3,226;0,240;0,375;0,667;6,989;0,538;7,527;15,054;0,538;15,591;2,154;1,000;2,071;0,538;0,071;0,000;0,000;0,000;0,016;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,000;0,005;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,032;0,000;0,011;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,022;0,000;0,005;0,000;0,108;10;0,025;0,000;0,018;0,025;0,120;0,000;0,000;;5,558;2,25;0,238;0,395;0,506;345,163;7777,547;6,524;1,089;4,006;446,206;1349,634;5,485;1,086;4,939;463,43;4866,512;4,856;5,081;585,397;190,527;3,573;6,206;0,576;0,488;0,477;0,413;0,366;0,273;0,209;0,163;0,128;0,076;0,82;10,751;0,961;0,924;10,572;0,984;3,195;0,313;0,762;0,238;146,325;0,942;0,358;0,185;0,516;0,169;0,081;0,674;16,215;1,302;14,035;1,06;4,773;;Poesie;Epos;narrativ;Rhetorik
Text_26;4,484;5,894;2,512;0,163;0,488;0,512;227,366;5678,049;5,669;0,617;2,699;283,202;1173,319;4,552;0,612;3,16;315,976;1863,748;4,449;3,561;389,851;275,755;3,276;4,223;0,496;0,317;0,285;0,244;0,179;0,138;0,106;0,081;0,065;0,033;0,789;8,746;0,951;0,809;7,839;0,953;3,241;0,309;0,764;0,236;97,243;0,965;0,32;0,152;0,475;0,048;0,105;0,316;8,715;1,328;16,577;1,037;3,528;0;0;0,778;0;0;0,222;0;0,111;0,333;0,333;0,222;0;0;0,889;0,556;0,667;0,333;0;0,333;1;0;0,214;0,119;0,024;0,31;0,333;1,472;3,390;0,301;0,073;0,089;0,275;1,375;0;0;0;0;0;0;0,024;0,075;0,375;0,041;0,073;0,106;0,024;0,041;0,057;0,342;0,443;0,594;0,763;16;6,474;0;0;0;0;0;0;7,375;0,461;4,467;15,375;15,447;2,375;1,727;8,943;1,375;1,375;4,065;0,625;0,625;0,455;1,626;0,000;1,626;1,626;0,000;1,626;1,000;0,000;1,000;0,000;0,000;0,813;0,000;0,000;0,016;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,016;0,000;0,000;0,000;0,000;0,000;0,000;0,008;0,000;0,000;0,000;0,000;0,000;0,000;0,008;0,000;0,000;0,000;0,000;0,033;0,016;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,024;0,008;0,098;7;0,025;0,000;0,024;0,038;0,108;0,000;0,023;;5,708;2,451;0,168;0,46;0,496;232,673;6115,885;6,037;0,225;2,779;296,988;1226,036;4,915;0,220;3,321;328,354;2020,929;4,742;3,708;415,298;298,155;3,53;4,5;0,522;0,327;0,292;0,248;0,177;0,133;0,106;0,080;0,062;0,027;0,796;8,466;0,952;0,821;7,529;0,956;2,897;0,345;0,743;0,257;90,243;0,962;0,304;0,157;0,514;0,061;0,105;0,368;20,319;1,43;17,991;1,113;3,699;;Prosa;Geschichtsschreibung;narrativ;Krieg
Text_27;1,609;5,4;2,211;0,244;0,344;0,511;372,544;8739,322;6,959;1,912;4,311;518,453;1045,828;5,747;1,910;5,656;453,789;4302,356;5,511;5,078;621,109;272,047;4,056;6,656;0,611;0,544;0,444;0,444;0,389;0,356;0,244;0,189;0,144;0,089;0,8;7,589;0,95;0,875;7;0,968;2,462;0,406;0,711;0,289;71,828;0,958;0,297;0,143;0,481;0,11;0,055;0,667;28,333;1,319;25,9;0,988;3,344;0,2;0,4;0,333;0;0;0,067;0,6;0,667;0,2;0,067;0,067;0;0;0,333;0,267;0,467;0,2;0,333;0,533;0,933;0,067;0,24;0,12;0;0,28;0,28;1,489;3,567;0,300;0,089;0,122;0,44;2,2;0,056;0,2;1;0,011;0,04;0,2;0,044;0,16;0,8;0,022;0,078;0,089;0;0,044;0,033;0,197;0,26;0,17;0,84;18;9,000;0;0;0;0;0,182;0,222;8;0,444;3,482;22,500;6,667;1,500;1,000;6,667;1,500;1,200;5,556;1,250;1,000;0,833;8,889;0,000;8,889;16,667;0,000;16,667;1,875;0,000;1,875;0,000;0,000;0,000;0,000;0,000;0,033;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,011;0,000;0,000;0,000;0,000;0,011;0,011;0,000;0,022;0,000;0,011;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,011;0,000;0,000;0,000;0,111;7;0,051;0,000;0,000;0,065;0,081;0,000;0,000;;5,368;2,184;0,253;0,345;0,506;357,046;9036,264;7,078;0,817;4,161;503,525;1090,967;5,857;0,815;5,508;443,333;4449,333;5,609;4,977;614,426;283,459;4,126;6,59;0,598;0,529;0,425;0,425;0,368;0,333;0,218;0,184;0,138;0,080;0,793;7,398;0,948;0,869;6,786;0,966;2,346;0,426;0,701;0,299;68,828;0,956;0,284;0,148;0,52;0,114;0,057;0,667;28,828;1,3;26,31;0,958;3,425;;Poesie;Elegie;deskriptiv;Tod
Text_28;4,008;5,79;2,349;0,195;0,405;0,507;348,933;7980,328;6,762;1,229;4,041;466,669;1255,408;5,67;1,225;5,127;434,933;3099,169;4,995;4,79;560,655;263,415;3,694;5,958;0,579;0,477;0,446;0,374;0,354;0,323;0,226;0,159;0,123;0,087;0,779;10,885;0,953;0,88;10,49;0,974;2,679;0,373;0,728;0,272;156,153;0,953;0,35;0,157;0,449;0,133;0,071;0,65;13,179;1,428;11,451;1,152;4,108;0,371;0,057;0,371;0,057;0;0,143;0,486;0,743;0,143;0,114;0;0;0;0,257;0,143;0,857;0,143;0;0,143;0,886;0,114;0,259;0,138;0;0,241;0,362;1,503;3,513;0,338;0,067;0,138;0,435;1,8;0,046;0,145;0,6;0,031;0,097;0,4;0,026;0,081;0,333;0,015;0,031;0,082;0,01;0,01;0,041;0,316;0,419;0,229;0,739;13,6;5,132;0,098;0,133;0,111;0,147;0,074;0,098;6,733;0,495;3,333;8,864;8,718;0,773;1,063;8,205;0,727;1,067;5,128;0,455;0,667;0,625;10,769;1,026;11,795;20,000;1,026;21,026;1,857;1,000;1,783;2,051;0,174;1,026;0,000;0,000;0,015;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,000;0,000;0,005;0,000;0,000;0,000;0,005;0,005;0,010;0,000;0,000;0,000;0,005;0,000;0,010;0,010;0,005;0,005;0,021;0,010;0,000;0,010;0,000;0,000;0,010;0,000;0,000;0,026;0,005;0,005;0,138;17;0,023;0,000;0,024;0,077;0,092;0,045;0,035;;5,69;2,299;0,207;0,37;0,478;332,364;8453,408;7,031;0,746;3,886;453,282;1355,198;5,956;0,742;5;435,467;3283,924;5,228;4,815;571,962;284,802;3,913;6,092;0,571;0,462;0,429;0,353;0,332;0,304;0,201;0,136;0,098;0,065;0,766;10,395;0,949;0,87;9,96;0,971;2,472;0,405;0,712;0,288;145,153;0,95;0,333;0,167;0,5;0,141;0,07;0,667;13,723;1,469;11,891;1,177;4,25;;Poesie;Elegie;deskriptiv;Literatur
Text_29;4,878;5,637;2,245;0,186;0,373;0,5;302,029;6195,49;5,738;0,312;3,48;355,453;1158,326;4,936;0,311;3,942;440,824;4123,578;4,118;4,775;509,302;148,326;3,171;5,372;0,549;0,422;0,373;0,324;0,314;0,284;0,176;0,127;0,078;0,029;0,912;9,208;0,98;0,977;9,058;0,995;5,375;0,186;0,843;0,157;94,991;0,952;0,382;0,196;0,513;0,088;0,118;0,429;23,186;1,474;19,686;1,125;3,941;0;0,182;0,636;0;0,091;0,091;0,273;0,8;0;0,1;0,1;0;0;0,2;0,1;0,7;0,1;0,2;0,3;0,9;0,1;0,421;0,079;0,079;0,289;0,105;1,480;3,863;0,343;0,069;0,059;0,143;1,2;0,02;0,048;0,4;0;0;0;0,02;0,048;0,4;0;0;0;0;0;0;0,292;0,413;0;0,875;22;8,500;0;0;0;0;0,143;0,091;3,2;0,145;3,124;17,000;8,824;1,500;1,500;5,882;1,000;1,200;4,902;0,833;1,000;0,833;9,804;0,980;10,784;12,745;0,980;13,725;1,300;1,000;1,273;0,980;0,091;2,941;0,000;0,000;0,020;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,000;0,000;0,000;0,000;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,049;0,000;0,000;0,010;0,000;0,010;0,000;0,000;0,000;0,000;0,010;0,000;0,010;0,010;0,127;9;0,030;0,000;0,018;0,022;0,154;0,024;0,000;;5,5;2,181;0,202;0,34;0,479;304,106;6691,128;5,99;0,289;3,511;363,436;1239;5,158;0,288;4,026;446,181;4472,766;4,331;4,84;522,782;161,423;3,331;5,513;0,553;0,426;0,372;0,330;0,319;0,287;0,17;0,117;0,064;0,021;0,904;8,767;0,978;0,974;8,605;0,994;4,875;0,205;0,83;0,17;86,991;0,947;0,383;0,181;0,472;0,074;0,117;0,389;24,957;1,556;21,16;1,178;3,915;;Poesie;Lyrik;systematisch;Götter
Text_30;3,008;6,188;2,609;0,239;0,492;0,548;342,061;6432,162;6,365;0,471;3,964;453,112;943,769;5,243;0,466;5;418,589;4644,731;4,879;4,589;554,091;180,797;3,376;5,839;0,609;0,492;0,467;0,401;0,35;0,284;0,203;0,162;0,096;0,066;0,777;10,901;0,952;0,93;11,122;0,985;2,648;0,378;0,726;0,274;158,424;0,946;0,298;0,212;0,712;0,137;0,096;0,587;18,853;1,503;14,223;1,027;3,193;0,037;0,074;0,481;0;0;0,407;0,111;0,385;0,115;0,385;0,077;0,038;0;0,615;0,231;0,808;0,192;0;0,192;0,808;0,192;0,108;0,231;0;0,308;0,354;1,330;3,086;0,249;0,198;0,071;0,209;2;0,005;0,015;0,143;0,02;0,06;0,571;0,01;0,03;0,286;0,005;0,005;0,025;0;0;0,02;0,27;0,366;0,066;0,96;39,4;5,970;0;0;0,04;0,051;0,04;0,051;14,8;0,376;3,583;19,700;15,736;3,100;1,348;11,675;2,300;4,600;8,122;1,600;3,200;0,696;0,508;0,000;0,508;1,015;0,000;1,015;2,000;0,000;2,000;0,000;0,000;5,584;0,000;0,005;0,010;0,000;0,000;0,000;0,020;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,036;0,010;0,000;0,005;0,025;0,005;0,025;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,015;0,005;0,000;0,162;15;0,029;0,064;0,008;0,104;0,142;0,000;0,028;;6,131;2,579;0,251;0,497;0,552;340,164;6858,197;6,617;0,448;3,956;459,115;1018,115;5,507;0,442;5,069;422,481;4946,077;5,081;4,645;570,015;195,438;3,543;6,015;0,617;0,497;0,470;0,399;0,344;0,273;0,191;0,153;0,087;0,055;0,76;10,275;0,947;0,923;10,525;0,984;2,453;0,408;0,71;0,29;144,424;0,94;0,272;0,201;0,74;0,131;0,098;0,571;18,437;1,518;13,454;1,005;3,29;;Prosa;Philosophie;deskriptiv;Götter
Text_31;5,551;5,833;2,397;0,153;0,445;0,569;443,22;4055,828;5,779;1,333;4,957;519,891;690,337;5,057;1,330;5,669;526,957;2814,435;4,133;5,651;611,594;122,543;3,238;6,44;0,708;0,589;0,579;0,550;0,474;0,402;0,316;0,249;0,182;0,086;0,804;11,621;0,959;0,863;11,415;0,971;5,147;0,194;0,837;0,163;168,657;0,971;0,376;0,181;0,481;0,124;0,12;0,51;22,866;1,444;19,44;1,257;3,928;0,037;0,148;0,704;0;0;0,111;0,185;0,444;0,185;0,259;0,074;0,037;0;0,556;0,296;0,963;0;0,037;0,037;0,926;0,074;0,125;0,094;0,062;0,484;0,234;1,349;3,325;0,278;0,053;0,072;0,217;1,071;0,024;0,072;0,357;0,005;0,014;0,071;0,038;0,116;0,571;0;0,005;0,1;0;0,005;0,048;0,201;0,28;0;0,771;14,667;5,098;0,136;0,2;0,077;0,091;0,115;0,136;4,4;0,3;3,161;8,360;11,483;0,960;1,500;7,656;0,640;1,067;0,957;0,080;0,133;0,125;8,134;0,957;9,091;16,268;1,914;18,182;2,000;2,000;2,000;0,957;0,105;0,957;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,014;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,000;0,000;0,000;0,000;0,000;0,000;0,048;0,005;0,057;0,014;0,000;0,000;0,000;0,000;0,000;0,000;0,010;0,005;0,005;0,000;0,163;10;0,011;0,000;0,021;0,021;0,290;0,000;0,011;;5,721;2,342;0,163;0,411;0,542;429,026;4313,605;6,073;0,995;4,821;508,72;746,051;5,356;0,991;5,561;527,589;2964,916;4,366;5,679;618,726;133,541;3,456;6,535;0,716;0,584;0,574;0,542;0,458;0,379;0,284;0,211;0,142;0,042;0,784;10,81;0,954;0,847;10,615;0,967;4,758;0,21;0,826;0,174;149,657;0,968;0,363;0,195;0,536;0,132;0,1;0,568;22,989;1,493;19,226;1,287;4,153;;Poesie;Epos;narrativ;Tod
Text_32;1,336;5,788;2,414;0,225;0,41;0,5;289,82;8941,482;6,842;0,518;3,464;400,652;1138,684;5,601;0,514;4,484;372,486;4769,653;5,277;4,185;508,135;259,052;3,733;5,439;0,581;0,387;0,365;0,288;0,266;0,230;0,162;0,140;0,113;0,063;0,757;11,275;0,948;0,897;11,165;0,978;2,313;0,432;0,698;0,302;170,819;0,962;0,277;0,152;0,548;0,081;0,095;0,462;22,297;1,394;19,676;1,007;3,815;0,042;0;0,875;0;0;0,083;0,042;0,292;0,125;0,292;0,208;0;0,083;0,708;0,417;0,75;0,25;0;0,25;0,917;0,083;0,172;0,19;0,052;0,259;0,328;1,450;3,423;0,315;0,086;0,072;0,246;1,231;0;0;0;0;0;0;0,009;0,031;0,154;0,054;0,045;0,072;0,032;0,023;0,041;0,462;0,565;0,784;0,842;17,385;6,167;0,088;0,154;0;0;0;0;5,769;0,332;4,272;11,684;9,910;1,158;1,294;7,658;0,895;1,308;4,505;0,526;0,769;0,588;1,351;0,450;1,802;1,802;1,351;3,153;1,333;3,000;1,750;0,000;0,000;0,450;0,000;0,005;0,009;0,005;0,000;0,000;0,005;0,000;0,005;0,000;0,014;0,000;0,000;0,009;0,000;0,000;0,000;0,005;0,009;0,005;0,000;0,000;0,005;0,000;0,000;0,000;0,005;0,014;0,005;0,018;0,009;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,005;0,023;0,000;0,122;18;0,037;0,027;0,036;0,052;0,105;0,000;0,048;;5,541;2,322;0,244;0,371;0,468;268,537;9676,659;7,195;0,425;3,263;382,688;1269,58;5,972;0,420;4,312;369,141;5164,429;5,628;4,18;519,877;289,841;4,065;5,587;0,576;0,366;0,341;0,263;0,239;0,200;0,132;0,107;0,078;0,034;0,751;10,756;0,946;0,906;10,641;0,98;2,06;0,486;0,673;0,327;156,819;0,958;0,28;0,159;0,569;0,078;0,093;0,457;22,224;1,399;19,385;0,98;3,98;;Prosa;Geschichtsschreibung;narrativ;Flucht
Text_33;3,999;5,674;2,401;0,25;0,407;0,448;225,151;8807,07;7,196;1,001;2,814;314,39;2203,593;6,09;0,997;3,61;368,436;3674,651;5,516;4,14;499,585;371,017;4,131;5,356;0,453;0,302;0,273;0,244;0,203;0,140;0,099;0,087;0,064;0,047;0,733;9,607;0,94;0,831;9,022;0,961;2,185;0,458;0,686;0,314;126,657;0,965;0,249;0,173;0,698;0,128;0,076;0,629;13,674;1,304;11,233;0,994;5,174;0,241;0,069;0,31;0,034;0,207;0,138;0,552;0,75;0,036;0,214;0;0;0;0,25;0,036;0,786;0,179;0,036;0,214;0,786;0,214;0,091;0,114;0,023;0,432;0,318;1,494;3,384;0,378;0,099;0,163;0,609;2,545;0,047;0,174;0,727;0,023;0,087;0,364;0,035;0,13;0,545;0,029;0,047;0,093;0,006;0,017;0,029;0,338;0,465;0,325;0,468;13,385;5,548;0,115;0,154;0,043;0,057;0;0;4,615;0,345;3,398;10,750;11,628;1,250;1,333;8,721;0,938;1,154;6,977;0,750;0,923;0,800;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,744;0,000;0,000;0,023;0,000;0,000;0,000;0,000;0,000;0,006;0,000;0,000;0,006;0,000;0,017;0,006;0,000;0,000;0,000;0,017;0,000;0,012;0,000;0,006;0,017;0,000;0,000;0,006;0,006;0,006;0,006;0,006;0,000;0,000;0,000;0,000;0,000;0,006;0,000;0,000;0,000;0,000;0,145;15;0,035;0,016;0,044;0,128;0,054;0,011;0,016;;5,555;2,348;0,262;0,396;0,439;199,884;9223,305;7,343;0,356;2,555;283,209;2343,909;6,229;0,352;3,282;352,043;3848,713;5,657;3,988;484,682;390,264;4,242;5,218;0,427;0,274;0,244;0,213;0,171;0,110;0,073;0,061;0,043;0,024;0,72;9,214;0,935;0,818;8,581;0,957;2,037;0,491;0,671;0,329;118,657;0,963;0,232;0,177;0,763;0,134;0,073;0,647;14,073;1,309;11,512;0,984;5,305;;Prosa;Geschichtsschreibung;deskriptiv;Rhetorik
Text_34;9,248;5,413;2,254;0,175;0,317;0,439;421,19;8747,254;6,309;1,467;4,772;527,6;950,587;5,278;1,466;5,753;465,418;3890,153;4,466;5,063;573;148,707;3,262;6,053;0,646;0,545;0,534;0,508;0,45;0,407;0,302;0,254;0,212;0,122;0,799;10,984;0,957;0,9;11,023;0,979;3,846;0,26;0,794;0,206;157,147;0,934;0,402;0,169;0,421;0,132;0,09;0,595;16,058;1,527;14,153;1,243;3,778;0,027;0,081;0,622;0;0,135;0,135;0,243;0,595;0,216;0,108;0;0,081;0;0,405;0,297;0,757;0,135;0,108;0,243;1;0;0,379;0,121;0;0,242;0,258;1,455;3,640;0,328;0,037;0,042;0,114;0,333;0,005;0,014;0,042;0;0;0;0,011;0,029;0,083;0,021;0,016;0,063;0,005;0;0,026;0,396;0,537;0,231;0,711;7,148;4,725;0,415;0,296;0,12;0,155;0,08;0,104;2,296;0,321;2,434;6,097;5,291;0,323;1,111;4,762;0,290;0,333;2,116;0,129;0,148;0,444;8,466;1,058;9,524;15,344;1,587;16,931;1,813;1,500;1,778;1,587;0,167;1,058;0,000;0,000;0,011;0,000;0,000;0,000;0,000;0,011;0,000;0,000;0,005;0,000;0,000;0,005;0,000;0,000;0,000;0,000;0,011;0,000;0,000;0,000;0,005;0,000;0,000;0,000;0,016;0,021;0,016;0,005;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,021;0,000;0,005;0,000;0,127;12;0,016;0,024;0,017;0,035;0,101;0,000;0,024;;5,283;2,206;0,183;0,289;0,422;410,389;9175,406;6,503;0,89;4,672;520,603;999,504;5,459;0,889;5,688;466,75;4084,461;4,646;5,094;581,567;157,943;3,415;6,156;0,639;0,539;0,528;0,500;0,439;0,394;0,283;0,233;0,189;0,100;0,789;10,584;0,954;0,894;10,611;0,977;3,615;0,277;0,783;0,217;148,147;0,93;0,387;0,166;0,429;0,144;0,089;0,619;16,661;1,548;14,661;1,25;3,789;;Poesie;Elegie;informativ;Götter
